decision,company_name,url,contact_url,address,phone,evidence,reason,source_url
reject,,https://www.ebica.jp/,,,,,official_company_missing,https://www.ebica.jp/
accept,株式会社FBA,https://www.fba-a.com/,https://www.fba-a.com/contact/,,03-3498-5223,飲食店／経営支援,,https://www.fba-a.com/
reject,,https://www.tablia.app/,,,,,official_company_missing,https://www.tablia.app/
accept,エンゲートソフト株式会社,https://www.linechance.com/,https://www.linechance.com/contact/,400-5426 〒542-0076 大阪府大阪市中央区難波５丁目１−６０ なんばスカイオ 27階 サービス 機能一覧 使い方 料金プラン よくある質問 無料トライアル 会社情報 会社,06-4400-5426,飲食店／顧客管理,,https://www.linechance.com/
reject,株式会社Wiz,https://umat-yoyaku.com/,https://umat-yoyaku.com/form/toiawase.html,〒170-0005 東京都豊島区南大塚2-25-15South新大塚ビル12F 電話番号： 050-1791-6435 業務内容： IoT事業 ICT事業 WiFiプ,,飲食店／予約システム,live_duplicate,https://umat-yoyaku.com/
accept,株式会社くだら,https://www.qudara.co.jp/,https://www.qudara.co.jp/cathand/otoiawase.php?serial=05753,〒547-0048 大阪府大阪市平野区平野馬場2丁目7番6号 【小売直営店】 ＞＞アクセスマップはコチラ トミーズ萩ノ茶屋店 〒557-0004 大阪府大阪市西成区萩之茶屋２丁目２番８号 創業 198,06-4302-2585,飲食店／開業支援,,https://www.qudara.co.jp/
accept,株式会社ボイス,https://tablepos.jp/,https://tablepos.jp/contact,〒840-2214 佐賀県佐賀市川副町大字小々森146-1 九三ビルディング206号 福岡事務所 〒811-1324 福岡県福岡市南区警弥郷1-10-18 203号 電話番号 0952-20-3336,,飲食店／pos,,https://tablepos.jp/
accept,Japan 株式会社,https://www.mr-menu.co.jp/,https://www.mr-menu.co.jp/contact/,〒107-0052 東京都港区赤坂２丁目１４−１１ 409 電話番号 03-6455-1319 設立 2019年10月 X-twitter Facebook Inst,,飲食店／pos,,https://www.mr-menu.co.jp/
accept,株式会社 和品,https://studio.wahin.co.jp/,https://studio.wahin.co.jp/,,,飲食店／ホームページ制作,,https://studio.wahin.co.jp/
reject,,https://miseorder.com/,,,,,official_company_missing,https://miseorder.com/
reject,,https://quickeats.jp/,,,,,official_company_missing,https://quickeats.jp/
reject,,https://dineos.org/,,,,,official_company_missing,https://dineos.org/
reject,,https://www.order-kun.jp/,,,,,official_company_missing,https://www.order-kun.jp/
reject,,https://heyme.co.jp/,,,,,official_company_missing,https://heyme.co.jp/
reject,テンフィールズファクトリー株式会社,https://easy-order.jp/,https://easy-order.jp/contact/,〒619-0237 京都府相楽郡精華町光台1丁目7 けいはんなプラザ 9F ●ＵＲＬ： https://www.10-ff.com 支店情報 東京支店 ●所在地：〒1,03-6264-9040,飲食店／pos,live_duplicate,https://easy-order.jp/
reject,,https://siriusfood.co.jp/,,,,,service_evidence_missing,https://siriusfood.co.jp/
accept,株式会社Third,https://www.third-arrow.site/,https://www.third-arrow.site/,384-1240 お問い合わせフォーム 株式会社Third Arrow 東京都新宿区新宿5-6-2神谷ビル203 TOP SERVICE COMPANY CONTACT © 2026 Third Ar,,飲食店／マーケティング,,https://www.third-arrow.site/
reject,,https://www.ring-nagoya.com/,,,,,official_company_missing,https://www.ring-nagoya.com/
reject,,https://www.sfy-consulting.com/,,,,,official_company_missing,https://www.sfy-consulting.com/
reject,,https://ftj-g.co.jp/,,,,,service_evidence_missing,https://ftj-g.co.jp/
reject,Development株式会社,https://www.jr-d.co.jp/,,,,,contact_missing,https://www.jr-d.co.jp/
reject,,https://www.self-pos.com/,,,,,service_evidence_missing,https://www.self-pos.com/
accept,株式会社イグレック,https://www.igrekcom.co.jp/,https://www.igrekcom.co.jp/form-inquiry/,〒550-0012 大阪府大阪市西区立売堀1-3-11 ダイタイビル2F 電話番号 0570-011-909（平日10:00-19:00） Fax 06-6535-9,,飲食店／pos,,https://www.igrekcom.co.jp/
reject,,https://kaisokushop.com/,,,,,service_evidence_missing,https://kaisokushop.com/
reject,,https://takepart.co.jp/,,,,,service_evidence_missing,https://takepart.co.jp/
accept,株式会社トレタ,https://toreta.in/,https://toreta.in/contact/,,,飲食店／予約管理,,https://toreta.in/
accept,株式会社サカツコーポレーション,https://www.sakaz.co.jp/,https://www.sakaz.co.jp/contact/,〒460-0012 愛知県名古屋市中区千代田一丁目16番1号 TEL.052-242-1111（代表） © 2022 SAKAZ CORPORATION. 採用情報,,飲食店／集客支援,,https://www.sakaz.co.jp/
reject,社名 株式会社,https://gens-corp.jp/,,,,,contact_missing,https://gens-corp.jp/
accept,株式会社 Wild,https://www.wild2019.com/,https://www.wild2019.com/contact.php,〒107-0052 東京都港区赤坂4丁目13番5号赤坂 オフィスハイツ 電話番号 03-6555-1685 事業内容 飲食店のコンサルティング業務 飲食店の採用人事に,,飲食店／マーケティング,,https://www.wild2019.com/
reject,,https://www.inshokuten-web.com/,,,,,official_company_missing,https://www.inshokuten-web.com/
accept,Google 株式会社,https://food1food.com/,https://food1food.com/contact/,090-1734-0395 Information 会社概要 会社名 株式会社1 代表者 武井克幸 住所 〒103-0022 東京都中央区日本橋 室町１丁目１１−１２ 7階 営業時間 10:00〜2,090-1734-0395,飲食店／ホームページ制作,,https://food1food.com/
accept,株式会社カレント,https://www.currentcoffee.co.jp/,https://www.currentcoffee.co.jp/contact,,0120-343-367,飲食店／店舗運営,,https://www.currentcoffee.co.jp/
accept,ワルツ株式会社,https://www.waltz.co.jp/,https://www.waltz.co.jp/contact/,〒441-8077 愛知県豊橋市神野新田町二ノ割1 TEL 0532-33-3510 FAX 0532-33-3515 お問い合わせ ワルツ株式会社の一般事業主行動計,0532-33-3510,飲食店／店舗運営,,https://www.waltz.co.jp/
reject,有限会社 アイプラス,https://ipls.jp/,,,,,contact_missing,https://ipls.jp/
reject,,https://soft-fukuoka.com/,,,,,official_company_missing,https://soft-fukuoka.com/
reject,,https://foodno1.co.jp/,,,,,service_evidence_missing,https://foodno1.co.jp/
reject,,https://www.e-tenpobank.info/,,,,,official_company_missing,https://www.e-tenpobank.info/
accept,株式会社OMOTENASHI,https://omotenashicorp.jp/,https://omotenashicorp.jp/,,06-6226-7745,飲食店／マーケティング,,https://omotenashicorp.jp/
accept,瀧定株式会社,https://www.e-fbs.jp/,https://www.e-fbs.jp/contact1,,050-1807-0947,飲食店／集客支援,,https://www.e-fbs.jp/
reject,,https://111222000.jp/,,,,,official_company_missing,https://111222000.jp/
reject,,https://www.minamoto-foods.com/,,,,,service_evidence_missing,https://www.minamoto-foods.com/
reject,,https://food-citylaw.com/,,,,,service_evidence_missing,https://food-citylaw.com/
reject,,https://sapporo-hyc.com/,,,,,service_evidence_missing,https://sapporo-hyc.com/
accept,老舗計画株式会社,https://shinisekeikaku.com/,https://shinisekeikaku.com/contact/,〒989-1242 宮城県柴田郡大河原町西浦35-1 仙台事務所 〒980-0023 宮城県仙台市青葉区北目町4-7 HSGビル1Fミライトス内※飛び込み営業はご遠慮ご遠慮ください。 メール info,,飲食店／開業支援,,https://shinisekeikaku.com/
reject,株式会社 カエルカンパニー,https://kaeru.company/,,,,,contact_missing,https://kaeru.company/
accept,株式会社Homie,https://www.homies-kitchen.jp/,https://www.homies-kitchen.jp/contact/,〒730-0043 広島県広島市中区富士見町16-18中国ビル1階 [ TEL ] 082-236-3504 GoogleMAPはこちら 的場キッチン 〒732-0824 広島県広島市南区的場1丁目6,,飲食店／マーケティング,,https://www.homies-kitchen.jp/
reject,,,,,,,fetch_failed,https://www.zo-k.co.jp/
reject,,https://www.yoko-so.co.jp/,,,,,service_evidence_missing,https://www.yoko-so.co.jp/
accept,株式会社T2,https://www.t2-company.jp/,https://www.t2-company.jp/contact,〒601-8151 京都市南区上鳥羽塔ノ森東向町541 ☎ 075-205-1787 受付時間：9:30-18:30 365日対応 BBQテラス ABURU 〒606-8343 京都市左京区岡崎成勝寺,,飲食店／集客支援,,https://www.t2-company.jp/
accept,オフィスラン合同会社,https://www.office-run.com/,https://www.office-run.com/contact-8,715-0361 送信 送信が完了しました。 オフィスラン合同会社 info@office-run.com 電話：045-715-0361 神奈川県横浜市保土ケ谷区狩場町55-4-203 bottom,045-715-0361,飲食店／開業支援,,https://www.office-run.com/
reject,,,,,,,fetch_failed,https://www.team-39.jp/
reject,,,,,,,fetch_failed,https://leo-yokohama.com/
reject,,,,,,,fetch_failed,https://www.plus1-yokohama.com/
reject,,https://www.kitchen-kyoto.com/,,,,,service_evidence_missing,https://www.kitchen-kyoto.com/
reject,,https://sogyoya.kyoto/,,,,,official_company_missing,https://sogyoya.kyoto/
accept,OKコンサルティング株式会社,https://ok-inshoku.jp/,https://ok-inshoku.jp/contact/,,,飲食店／マーケティング,,https://ok-inshoku.jp/
